rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Compounder,103.9,269.93,303.6,20.5,20.1,20.0,0.0,ok,-0.5,de_fallback,,70.2,False,60.1,29.7,2.6,24.1,38.0,43.9,39.4,9.2,30.2,0.351,0.487,AVGO,,126,20.1,20.0,,False
2,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2163.6,417.17,425.37,24.0,15.7,21.0,-2.0,ok,0.0,de_fallback,,15.2,False,58.7,19.3,,36.0,64.2,40.0,49.2,16.8,13.1,0.59,0.677,NVDA,,126,15.7,21.0,fcf_yield_out_of_range(34.2),False
3,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,271.3,1018.53,1023.8,19.0,16.6,23.0,0.0,ok,0.0,de_fallback,,28.4,False,58.6,40.9,5.8,21.9,20.6,82.6,45.9,21.3,18.8,0.412,0.48,AVGO,,126,16.6,23.0,,False
4,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1989.4,418.16,397.25,20.0,17.0,22.0,0.0,ok,-0.5,de_fallback,,74.0,False,58.5,21.5,1.4,47.9,76.3,37.3,59.4,14.4,19.2,0.434,0.537,NVDA,,126,17.0,22.0,,True
5,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5133.4,211.94,205.65,20.0,16.5,20.0,-2.0,ok,0.0,de_fallback,,6.6,False,54.5,16.4,0.9,85.2,74.1,114.3,49.6,9.7,5.8,0.586,0.537,AVGO,,126,16.5,20.0,,True
6,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4590.5,375.35,356.58,19.0,14.3,20.0,0.0,ok,0.0,de_fallback,,18.9,False,53.3,25.5,0.5,24.2,60.9,48.7,52.1,15.0,-1.5,0.324,0.295,BMNR,,126,14.3,20.0,,True
7,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1497.8,587.94,601.33,18.0,17.8,17.0,0.0,ok,0.0,de_fallback,,43.0,False,52.8,16.8,1.4,28.0,81.7,29.8,26.2,-7.0,-26.7,0.4,0.406,GOOG,,126,17.8,15.0,,False
8,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,78.4,551.55,535.23,16.0,16.0,21.0,0.0,ok,-0.5,de_fallback,,95.3,False,52.5,18.2,3.2,5.1,20.1,27.0,64.4,-8.4,-33.0,-0.048,0.214,AVGO,,126,16.0,21.0,,False
9,TLN,Talen Energy Corporation,Utilities,Utilities - Independent Power ,Growth,16.3,340.0,375.7,19.0,18.9,19.0,0.0,ok,-5.0,de_fallback,,635.4,False,51.9,11.9,8.5,96.7,40.1,-1.9,31.5,-7.0,-12.3,0.378,0.4,AVGO,,126,18.9,19.0,,False
10,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,7.7,211.38,261.76,13.5,20.2,18.0,0.0,ok,0.0,de_fallback,,0.3,False,51.7,30.7,1.8,6.5,30.1,29.9,37.2,10.3,28.2,0.315,0.398,AVGO,,126,20.2,18.0,,False
11,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,239.9,190.51,180.98,19.0,12.5,20.0,0.0,ok,,unavailable,,,False,51.5,42.6,1.8,35.1,63.5,31.5,64.9,30.2,24.8,0.497,0.598,AVGO,,126,12.5,20.0,,False
12,CEG,Constellation Energy Corporati,Utilities,Utilities - Independent Power ,Growth,95.4,267.25,262.68,14.0,16.8,21.0,0.0,ok,-0.5,de_fallback,,66.4,False,51.3,20.1,-4.7,63.8,23.3,16.1,56.4,-12.7,-12.0,0.255,0.296,BMNR,,126,16.8,21.0,,False
13,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,Core,93.8,340.62,370.68,18.0,21.3,10.0,0.0,ok,0.0,de_fallback,,38.7,False,49.3,35.7,1.7,24.2,85.9,23.2,37.2,3.9,15.0,0.484,0.389,NVDA,,126,21.3,17.0,,False
14,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,59.9,237.6,287.56,21.0,18.7,10.0,0.0,ok,-0.5,de_fallback,,93.3,False,49.2,13.1,5.9,19.5,56.1,27.9,29.5,-1.0,-3.2,0.221,0.382,AVGO,,126,18.7,14.0,,False
15,SNPS,"Synopsys, Inc.",Technology,Software - Infrastructure,Growth,77.3,403.86,441.95,20.0,19.1,10.0,0.0,ok,0.0,de_fallback,,35.6,False,49.1,23.4,4.6,41.9,82.6,3.8,42.2,-10.1,-15.5,0.474,0.392,NVDA,,126,19.1,17.0,,False
16,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Core,3659.4,492.81,468.17,18.0,13.0,18.0,0.0,ok,0.0,de_fallback,,29.1,False,49.0,21.0,0.4,17.7,67.9,34.0,80.6,14.1,8.5,0.346,0.376,BMNR,,126,13.0,18.0,,True
17,UBER,"Uber Technologies, Inc.",Technology,Software - Application,Core,146.5,71.99,71.73,21.0,17.6,10.0,0.0,ok,0.0,de_fallback,,48.1,False,48.6,16.2,4.5,14.5,39.6,35.3,48.0,-8.1,-19.5,0.303,0.296,MSFT,,126,17.6,15.0,,False
18,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,Core,170.8,162.67,196.33,19.0,19.9,10.0,0.0,ok,-0.5,de_fallback,,55.2,False,48.4,15.8,6.0,-4.0,54.2,33.8,38.1,-3.1,-0.2,0.304,0.384,AVGO,,126,19.9,14.0,,False
19,KLAC,KLA Corporation,Technology,Semiconductor Equipment & Mate,Core,255.3,195.45,221.46,20.0,18.9,10.0,0.0,ok,-0.5,de_fallback,,92.7,False,48.4,29.8,,15.2,61.3,87.5,36.5,19.8,32.7,0.37,0.539,NVDA,,126,18.9,15.0,,False
20,FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchang,Speculative,9.8,274.49,260.77,21.0,17.2,10.0,0.0,ok,0.0,financial_na,,,False,48.2,13.9,6.4,6.4,51.4,27.0,61.4,11.6,12.7,0.066,0.375,MSFT,,126,17.2,15.0,,False
21,ADSK,"Autodesk, Inc.",Technology,Software - Application,Core,50.1,237.21,225.35,23.0,15.7,10.0,0.0,ok,-0.5,de_fallback,,85.4,False,48.2,16.6,6.1,18.4,92.4,50.4,67.6,-6.3,-13.3,0.151,0.351,MSFT,,126,15.7,17.0,,False
